GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,TIME_REMAINING,CLUTCH
Shot Chart Detail,22100002,687,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,167,196,1,1,20211019,LAL,GSW,113,True
Shot Chart Detail,22100002,695,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,69,285,1,0,20211019,LAL,GSW,59,True
Shot Chart Detail,22100025,681,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-162,208,1,0,20211022,LAL,PHX,38,True
Shot Chart Detail,22100040,640,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,22,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-185,29,1,0,20211024,LAL,MEM,82,True
Shot Chart Detail,22100093,681,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,44,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,69,65,1,0,20211031,LAL,HOU,104,True
Shot Chart Detail,22100107,642,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,179,1,0,20211102,LAL,HOU,107,True
Shot Chart Detail,22100107,648,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-99,158,1,1,20211102,LAL,HOU,88,True
Shot Chart Detail,22100107,651,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,47,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-146,91,1,0,20211102,LAL,HOU,47,True
Shot Chart Detail,22100107,662,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,20,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-45,115,1,0,20211102,LAL,HOU,20,True
Shot Chart Detail,22100268,661,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,42,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,16,1,1,20211124,IND,LAL,102,True
Shot Chart Detail,22100268,671,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-69,268,1,1,20211124,IND,LAL,77,True
Shot Chart Detail,22100268,676,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-167,111,1,0,20211124,IND,LAL,48,True
Shot Chart Detail,22100268,699,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,-92,301,1,0,20211124,IND,LAL,2,True
Shot Chart Detail,22100268,737,2544,LeBron James,1610612747,Los Angeles Lakers,5,1,53,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-152,258,1,1,20211124,IND,LAL,113,True
Shot Chart Detail,22100268,751,2544,LeBron James,1610612747,Los Angeles Lakers,5,1,12,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-174,252,1,0,20211124,IND,LAL,72,True
Shot Chart Detail,22100268,754,2544,LeBron James,1610612747,Los Angeles Lakers,5,0,41,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,27,1,1,20211124,IND,LAL,41,True
Shot Chart Detail,22100291,649,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,5,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,22,1,1,20211126,LAL,SAC,65,True
Shot Chart Detail,22100291,668,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,114,264,1,0,20211126,LAL,SAC,0,True
Shot Chart Detail,22100291,728,2544,LeBron James,1610612747,Los Angeles Lakers,5,0,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,132,212,1,0,20211126,LAL,SAC,41,True
Shot Chart Detail,22100291,745,2544,LeBron James,1610612747,Los Angeles Lakers,5,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,71,278,1,0,20211126,LAL,SAC,0,True
Shot Chart Detail,22100291,797,2544,LeBron James,1610612747,Los Angeles Lakers,6,0,24,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,27,1,1,20211126,LAL,SAC,24,True
Shot Chart Detail,22100304,620,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-112,284,1,0,20211128,LAL,DET,65,True
Shot Chart Detail,22100341,623,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,28,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,29,1,1,20211203,LAL,LAC,28,True
Shot Chart Detail,22100341,627,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-59,253,1,0,20211203,LAL,LAC,4,True
Shot Chart Detail,22100403,631,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,56,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,130,157,1,0,20211212,LAL,ORL,56,True
Shot Chart Detail,22100403,637,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,22,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,-7,1,0,20211212,LAL,ORL,22,True
Shot Chart Detail,22100420,620,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-142,270,1,0,20211215,DAL,LAL,81,True
