SECONDS_REMAINING,SHOT_DISTANCE,TIME_REMAINING,PRESSURE_SCORE,SHOT_DIFFICULTY,PLAYER_CLUTCH_FG,ACTION_TYPE_Cutting Dunk Shot,ACTION_TYPE_Driving Dunk Shot,ACTION_TYPE_Driving Layup Shot,ACTION_TYPE_Jump Shot,ACTION_TYPE_Running Dunk Shot,ACTION_TYPE_Running Layup Shot,SHOT_ZONE_BASIC_Restricted Area,SHOT_ZONE_AREA_Center(C),SHOT_ZONE_AREA_Left Side Center(LC),SHOT_TYPE_3PT Field Goal,SHOT_ZONE_RANGE_24+ ft.,SHOT_ZONE_RANGE_Less Than 8 ft.,SHOT_DISTANCE,TIME_REMAINING,PRESSURE_SCORE,SHOT_DISTANCE^2,SHOT_DISTANCE TIME_REMAINING,SHOT_DISTANCE PRESSURE_SCORE,PRESSURE_SCORE^2,SHOT_MADE_FLAG
-0.9735494935736383,-1.090661277536043,-1.332498452420551,1.0506722826950994,-1.082126989798243,-1.1039486144046093,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,6.2271805640898,1.5487847420526808,0.8346750651930225,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,1.2285543514197992,-1.090661277536043,-1.332498452420551,1.0506722826950994,-0.8207395931472309,-0.8703782255340482,-0.7292695603038623,1.0275069815843647,1
0.18643969117250972,-1.180215575095195,-0.7421672713741131,0.47115762204149386,-1.1729363695064985,0.623797027893456,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,9.40744386111339,-0.16058631827165676,1.5487847420526808,0.8346750651930225,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,1.2285543514197992,-1.180215575095195,-0.7421672713741131,0.47115762204149386,-0.8283927415179279,-0.8573726852393243,-0.8324779803618462,0.2567751158390633,0
-0.8078367528956171,-1.2697698726543472,-1.248165426556774,0.9347693505643786,-1.263745749214754,0.3621436258835566,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,-0.16058631827165676,1.5487847420526808,0.8346750651930225,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,1.2285543514197992,-1.2697698726543472,-1.248165426556774,0.9347693505643786,-0.8309437909748267,-0.894024662433546,-0.9020595968921661,0.8600677205352198,1
-1.4706877156077016,1.237750459001913,0.10116298726365523,0.15019565614103558,1.2789168826163992,-1.1039486144046093,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,-0.16058631827165676,-0.645667517795049,-1.1980710119437261,-0.4091348241690337,1.2929198703109084,1.30066495428618,-0.8139648024886595,1.237750459001913,0.10116298726365523,0.15019565614103558,1.1690789832339596,1.1253810487835674,0.7854886047576756,-0.09859333109929817,0
-0.4211736913135678,0.07354459073293503,-1.0513883662079615,1.015009842039493,0.0983949464090781,-0.6605157974649919,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,-0.16058631827165676,-0.645667517795049,0.8346750651930225,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,-0.8139648024886595,0.07354459073293503,-1.0513883662079615,1.015009842039493,-0.25695766317256025,-0.5393281089410787,0.3783456143534986,0.9752793036810731,1
0.46262759230254497,-1.090661277536043,1.0850482890077182,-1.2495551395915194,-1.082126989798243,-1.2271243968878363,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,-0.16058631827165676,1.5487847420526808,0.8346750651930225,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,1.2285543514197992,-1.090661277536043,1.0850482890077182,-1.2495551395915194,-0.8207395931472309,-0.667018868198367,-0.8627421035367436,-1.052554678283934,0
1.0702409747886226,0.2526531858512393,1.3942693838415667,-1.2763019700832243,0.28001370582558904,-0.6868696858102405,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,1.9370628253571256,-0.10629880069054679,-0.16058631827165676,-0.645667517795049,-1.1980710119437261,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,-0.8139648024886595,0.2526531858512393,1.3942693838415667,-1.2763019700832243,-0.09369049793102664,1.2566187735757803,-0.5810529570626973,-1.0613445020876884,0
0.6283403329805661,0.4317617809695436,-0.5172792024040416,0.5781449440083136,0.4616324652421,0.623797027893456,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,-0.16058631827165676,-0.645667517795049,-1.1980710119437261,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,-0.8139648024886595,0.4317617809695436,-0.5172792024040416,0.5781449440083136,0.08998506296569864,-0.017924175307151957,0.4789673572170468,0.38655774918308694,1
-0.034510629731518465,-0.55333549218113,0.8320492114163878,-0.9018463431993561,-0.5372707115487102,0.6405854308393174,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,-0.10629880069054679,-0.16058631827165676,-0.645667517795049,-1.1980710119437261,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,-0.8139648024886595,-0.55333549218113,0.8320492114163878,-0.9018463431993561,-0.6676766257332932,-0.07112865833102204,-0.664085295004083,-0.9060772789233842,1
-0.36593611108756074,-1.180215575095195,0.6633831596888341,-0.8661839025437498,-1.1910982454481496,-0.6605157974649919,-0.11492409307804576,-0.13419939892930138,-0.3629291907122134,-0.5162455171352717,9.40744386111339,-0.16058631827165676,1.5487847420526808,0.8346750651930225,-0.4091348241690337,-0.773443136703847,-0.7688375063113864,1.2285543514197992,-1.180215575095195,0.6633831596888341,-0.8661839025437498,-0.8283927415179279,-0.7982565929905798,-0.8712781382783815,-0.8876717418309592,1
