,PLAYER_NAME,attempts,actual_fg_pct,expected_fg_pct,clutch_above_expected
1,Giannis Antetokounmpo,53,0.6415094339622641,0.5367647058823529,0.1047447280799112
2,Bam Adebayo,27,0.5925925925925926,0.5367647058823529,0.05582788671023964
3,Karl-Anthony Towns,34,0.5882352941176471,0.5367647058823529,0.05147058823529416
4,Anthony Davis,21,0.5714285714285714,0.5367647058823529,0.034663865546218475
5,Aaron Gordon,29,0.5517241379310345,0.5367647058823529,0.014959432048681554
6,Nikola Jokić,68,0.5441176470588235,0.5367647058823529,0.007352941176470562
7,Devin Booker,68,0.5294117647058824,0.5367647058823529,-0.007352941176470562
8,Jordan Poole,55,0.509090909090909,0.5367647058823529,-0.027673796791443883
9,De'Aaron Fox,57,0.49122807017543857,0.5367647058823529,-0.04553663570691435
10,Trae Young,70,0.4714285714285714,0.5367647058823529,-0.0653361344537815
11,Kevin Durant,49,0.46938775510204084,0.5367647058823529,-0.06737695078031208
12,Shai Gilgeous-Alexander,62,0.46774193548387094,0.5367647058823529,-0.06902277039848198
13,Pascal Siakam,48,0.4583333333333333,0.5367647058823529,-0.0784313725490196
14,Joel Embiid,71,0.4084507042253521,0.5367647058823529,-0.1283140016570008
15,Brandon Ingram,52,0.40384615384615385,0.5367647058823529,-0.13291855203619907
16,Stephen Curry,60,0.4,0.5367647058823529,-0.1367647058823529
17,Donovan Mitchell,75,0.37333333333333335,0.5367647058823529,-0.16343137254901957
18,Ja Morant,67,0.373134328358209,0.5367647058823529,-0.16363037752414394
19,Luka Dončić,62,0.3709677419354839,0.5367647058823529,-0.16579696394686905
20,Jaylen Brown,55,0.36363636363636365,0.5367647058823529,-0.17312834224598928
21,Anthony Edwards,53,0.3584905660377358,0.5367647058823529,-0.1782741398446171
22,LeBron James,79,0.35443037974683544,0.5367647058823529,-0.18233432613551748
23,Jayson Tatum,54,0.35185185185185186,0.5367647058823529,-0.18491285403050106
24,Klay Thompson,24,0.2916666666666667,0.5367647058823529,-0.24509803921568624
25,Damian Lillard,21,0.2857142857142857,0.5367647058823529,-0.2510504201680672
